X_id,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,ObjectId,geometry
353,GO-20141731923,2014,D55,Shooting,2014-03-19T00:00:00,62,East End-Danforth (62),353,"{'type': 'MultiPoint', 'coordinates': [[-79.30917735, 43.68567653]]}"
354,GO-20141731923,2014,D55,Shooting,2014-03-19T00:00:00,62,East End-Danforth (62),354,"{'type': 'MultiPoint', 'coordinates': [[-79.30917735, 43.68567653]]}"
355,GO-20141766614,2014,D11,Shooting,2014-03-25T00:00:00,91,Weston-Pellam Park (91),355,"{'type': 'MultiPoint', 'coordinates': [[-79.45233131, 43.6684862]]}"
356,GO-20141824235,2014,D51,Shooting,2014-04-04T00:00:00,71,Cabbagetown-South St.James Town (71),356,"{'type': 'MultiPoint', 'coordinates': [[-79.36801682, 43.66446336]]}"
357,GO-20141880069,2014,D42,Shooting,2014-04-12T00:00:00,131,Rouge (131),357,"{'type': 'MultiPoint', 'coordinates': [[-79.21297793, 43.81909218]]}"
358,5128923,2013,D12,Stabbing,2013-10-13T00:00:00,113,Weston (113),358,"{'type': 'MultiPoint', 'coordinates': [[-79.5194708, 43.70251974]]}"
359,GO-20142003751,2014,D13,Shooting,2014-05-02T00:00:00,108,Briar Hill-Belgravia (108),359,"{'type': 'MultiPoint', 'coordinates': [[-79.4472933, 43.69635948]]}"
360,GO-20142145283,2014,D55,Shooting,2014-05-24T00:00:00,65,Greenwood-Coxwell (65),360,"{'type': 'MultiPoint', 'coordinates': [[-79.32720741, 43.67453551]]}"
361,GO-20142242196,2014,D42,Other,2014-06-10T00:00:00,130,Milliken (130),361,"{'type': 'MultiPoint', 'coordinates': [[-79.28997519, 43.8097374]]}"
362,GO-20142439822,2014,D51,Shooting,2014-07-06T00:00:00,73,Moss Park (73),362,"{'type': 'MultiPoint', 'coordinates': [[-79.3723499, 43.65817021]]}"
363,GO-20142452482,2014,D32,Shooting,2014-07-08T00:00:00,31,Yorkdale-Glen Park (31),363,"{'type': 'MultiPoint', 'coordinates': [[-79.44819077, 43.71911297]]}"
364,GO-20142499434,2014,D33,Other,2014-07-15T00:00:00,46,Pleasant View (46),364,"{'type': 'MultiPoint', 'coordinates': [[-79.32701611, 43.78387388]]}"
365,GO-20142665166,2014,D22,Stabbing,2014-08-09T00:00:00,13,Etobicoke West Mall (13),365,"{'type': 'MultiPoint', 'coordinates': [[-79.57241116, 43.65116281]]}"
366,GO-20142728301,2014,D12,Shooting,2014-08-18T00:00:00,111,Rockcliffe-Smythe (111),366,"{'type': 'MultiPoint', 'coordinates': [[-79.49878472, 43.68447757]]}"
367,GO-20142777149,2014,D14,Shooting,2014-08-26T00:00:00,77,Waterfront Communities-The Island (77),367,"{'type': 'MultiPoint', 'coordinates': [[-79.39444755, 43.64402916]]}"
368,GO-20142804113,2014,D14,Other,2014-08-30T00:00:00,80,Palmerston-Little Italy (80),368,"{'type': 'MultiPoint', 'coordinates': [[-79.42681895, 43.66173647]]}"
369,GO-20141272537,2014,D51,Other,2014-01-03T00:00:00,71,Cabbagetown-South St.James Town (71),369,"{'type': 'MultiPoint', 'coordinates': [[-79.37373773, 43.66729501]]}"
370,GO-20142849540,2014,D51,Other,2014-09-05T00:00:00,71,Cabbagetown-South St.James Town (71),370,"{'type': 'MultiPoint', 'coordinates': [[-79.36952193, 43.66817448]]}"
371,GO-20142870125,2014,D54,Stabbing,2014-09-08T00:00:00,62,East End-Danforth (62),371,"{'type': 'MultiPoint', 'coordinates': [[-79.2967315, 43.68930442]]}"
372,GO-20142870490,2014,D12,Shooting,2014-09-08T00:00:00,113,Weston (113),372,"{'type': 'MultiPoint', 'coordinates': [[-79.50379913, 43.70287945]]}"
373,GO-20142886898,2014,D32,Shooting,2014-09-11T00:00:00,40,St.Andrew-Windfields (40),373,"{'type': 'MultiPoint', 'coordinates': [[-79.39533413, 43.76004617]]}"
374,GO-20142891423,2014,D22,Other,2014-09-11T00:00:00,14,Islington-City Centre West (14),374,"{'type': 'MultiPoint', 'coordinates': [[-79.53031231, 43.64699274]]}"
375,GO-20142905498,2014,D43,Shooting,2014-09-14T00:00:00,137,Woburn (137),375,"{'type': 'MultiPoint', 'coordinates': [[-79.22528368, 43.75982126]]}"
376,GO-20142910832,2014,D33,Other,2014-09-14T00:00:00,47,Don Valley Village (47),376,"{'type': 'MultiPoint', 'coordinates': [[-79.35161538, 43.78764919]]}"
377,GO-20142929457,2014,D31,Shooting,2014-09-17T00:00:00,27,York University Heights (27),377,"{'type': 'MultiPoint', 'coordinates': [[-79.50047966, 43.76224141]]}"
378,GO-20142966747,2014,D23,Stabbing,2014-09-23T00:00:00,2,Mount Olive-Silverstone-Jamestown (2),378,"{'type': 'MultiPoint', 'coordinates': [[-79.58376752, 43.7468156]]}"
379,GO-20142992607,2014,D54,Stabbing,2014-09-27T00:00:00,65,Greenwood-Coxwell (65),379,"{'type': 'MultiPoint', 'coordinates': [[-79.33130898, 43.68170912]]}"
380,GO-20143005270,2014,D43,Shooting,2014-09-29T00:00:00,139,Scarborough Village (139),380,"{'type': 'MultiPoint', 'coordinates': [[-79.2205216, 43.74283338]]}"
381,GO-20143017592,2014,D13,Stabbing,2014-09-30T00:00:00,107,Oakwood Village (107),381,"{'type': 'MultiPoint', 'coordinates': [[-79.44496106, 43.69607159]]}"
382,GO-20143045566,2014,D12,Shooting,2014-10-05T00:00:00,90,Junction Area (90),382,"{'type': 'MultiPoint', 'coordinates': [[-79.4740376, 43.67889965]]}"
383,GO-20143053009,2014,D23,Shooting,2014-10-06T00:00:00,6,Kingsview Village-The Westway (6),383,"{'type': 'MultiPoint', 'coordinates': [[-79.54666971, 43.70069296]]}"
384,GO-20143053009,2014,D23,Shooting,2014-10-06T00:00:00,6,Kingsview Village-The Westway (6),384,"{'type': 'MultiPoint', 'coordinates': [[-79.54666971, 43.70069296]]}"
385,GO-20143053896,2014,D51,Shooting,2014-10-06T00:00:00,72,Regent Park (72),385,"{'type': 'MultiPoint', 'coordinates': [[-79.36371254, 43.657222]]}"
386,GO-20143094406,2014,D33,Other,2014-10-13T00:00:00,47,Don Valley Village (47),386,"{'type': 'MultiPoint', 'coordinates': [[-79.36111205, 43.79073623]]}"
387,GO-20143107536,2014,D11,Other,2014-10-15T00:00:00,93,Dovercourt-Wallace Emerson-Junction (93),387,"{'type': 'MultiPoint', 'coordinates': [[-79.43899694, 43.6684649]]}"
388,GO-20143208371,2014,D31,Shooting,2014-10-30T00:00:00,26,Downsview-Roding-CFB (26),388,"{'type': 'MultiPoint', 'coordinates': [[-79.48595958, 43.74286798]]}"
389,GO-20143252379,2014,D12,Shooting,2014-11-06T00:00:00,110,Keelesdale-Eglinton West (110),389,"{'type': 'MultiPoint', 'coordinates': [[-79.47147598, 43.69097822]]}"
390,5260102,2013,D51,Shooting,2013-09-23T00:00:00,73,Moss Park (73),390,"{'type': 'MultiPoint', 'coordinates': [[-79.36691319, 43.65649967]]}"
