ID,YEAR,DATE,DIVISION,HOMICIDE_TYPE,NEIGHBORHOOD,MONTH
GO-20142849540,2014,2014-09-05T00:00:00Z,D51,Other,Cabbagetown-South St.James Town (71),Sep
GO-20142870125,2014,2014-09-08T00:00:00Z,D54,Stabbing,East End-Danforth (62),Sep
GO-20142870490,2014,2014-09-08T00:00:00Z,D12,Shooting,Weston (113),Sep
GO-20142886898,2014,2014-09-11T00:00:00Z,D32,Shooting,St.Andrew-Windfields (40),Sep
GO-20142891423,2014,2014-09-11T00:00:00Z,D22,Other,Islington-City Centre West (14),Sep
GO-20142905498,2014,2014-09-14T00:00:00Z,D43,Shooting,Woburn (137),Sep
GO-20142910832,2014,2014-09-14T00:00:00Z,D33,Other,Don Valley Village (47),Sep
GO-20142929457,2014,2014-09-17T00:00:00Z,D31,Shooting,York University Heights (27),Sep
GO-20142966747,2014,2014-09-23T00:00:00Z,D23,Stabbing,Mount Olive-Silverstone-Jamestown (2),Sep
GO-20142992607,2014,2014-09-27T00:00:00Z,D54,Stabbing,Greenwood-Coxwell (65),Sep
GO-20143005270,2014,2014-09-29T00:00:00Z,D43,Shooting,Scarborough Village (139),Sep
GO-20143017592,2014,2014-09-30T00:00:00Z,D13,Stabbing,Oakwood Village (107),Sep
GO-20143045566,2014,2014-10-05T00:00:00Z,D12,Shooting,Junction Area (90),Oct
GO-20143053009,2014,2014-10-06T00:00:00Z,D23,Shooting,Kingsview Village-The Westway (6),Oct
GO-20143053009,2014,2014-10-06T00:00:00Z,D23,Shooting,Kingsview Village-The Westway (6),Oct
GO-20143053896,2014,2014-10-06T00:00:00Z,D51,Shooting,Regent Park (72),Oct
GO-20143094406,2014,2014-10-13T00:00:00Z,D33,Other,Don Valley Village (47),Oct
GO-20143107536,2014,2014-10-15T00:00:00Z,D11,Other,Dovercourt-Wallace Emerson-Junction (93),Oct
GO-20143208371,2014,2014-10-30T00:00:00Z,D31,Shooting,Downsview-Roding-CFB (26),Oct
GO-20143252379,2014,2014-11-06T00:00:00Z,D12,Shooting,Keelesdale-Eglinton West (110),Nov
5260102,2013,2013-09-23T00:00:00Z,D51,Shooting,Moss Park (73),Sep
4934653,2013,2013-05-24T00:00:00Z,D12,Other,Rockcliffe-Smythe (111),May
5237175,2013,2013-10-06T00:00:00Z,D52,Stabbing,Bay Street Corridor (76),Oct
5229819,2013,2013-10-20T00:00:00Z,D52,Other,Kensington-Chinatown (78),Oct
GO-20135070453,2013,2013-11-01T00:00:00Z,D51,Other,Regent Park (72),Nov
GO-2013939200,2013,2013-11-09T00:00:00Z,D13,Other,Wychwood (94),Nov
GO-2013943773,2013,2013-11-10T00:00:00Z,D55,Shooting,The Beaches (63),Nov
GO-20131036741,2013,2013-11-25T00:00:00Z,D32,Stabbing,Lawrence Park North (105),Nov
GO-20131225193,2013,2013-12-26T00:00:00Z,D12,Other,Pelmo Park-Humberlea (23),Dec
GO-20131231259,2013,2013-12-27T00:00:00Z,D42,Other,Milliken (130),Dec
4832295,2013,2013-07-04T00:00:00Z,D32,Other,Clanton Park (33),Jul
4212793,2012,2012-01-27T00:00:00Z,D11,Shooting,Dufferin Grove (83),Jan
4085703,2012,2012-02-20T00:00:00Z,D32,Shooting,Lansing-Westgate (38),Feb
4085703,2012,2012-02-20T00:00:00Z,D32,Shooting,Lansing-Westgate (38),Feb
4370907,2012,2012-02-29T00:00:00Z,D42,Other,L'Amoreaux (117),Feb
4334336,2012,2012-03-11T00:00:00Z,D32,Other,Willowdale East (51),Mar
4445252,2012,2012-03-23T00:00:00Z,D22,Stabbing,Kingsway South (15),Mar
3755673,2012,2012-04-12T00:00:00Z,D12,Shooting,Rockcliffe-Smythe (111),Apr
4428014,2012,2012-04-15T00:00:00Z,D41,Stabbing,Victoria Village (43),Apr
4376058,2012,2012-04-16T00:00:00Z,D11,Other,High Park North (88),Apr
4449577,2012,2012-05-04T00:00:00Z,D32,Shooting,Englemount-Lawrence (32),May
4346812,2012,2012-05-09T00:00:00Z,D53,Shooting,Yonge-Eglinton (100),May
4449281,2012,2012-05-07T00:00:00Z,D41,Other,Oakridge (121),May
4445741,2012,2012-05-10T00:00:00Z,D11,Shooting,Lambton Baby Point (114),May
3363455,2012,2012-05-14T00:00:00Z,D51,Other,Moss Park (73),May
4438492,2012,2012-05-31T00:00:00Z,D43,Shooting,Centennial Scarborough (133),May
4533105,2012,2012-06-02T00:00:00Z,D52,Shooting,Bay Street Corridor (76),Jun
4533105,2012,2012-06-02T00:00:00Z,D52,Shooting,Bay Street Corridor (76),Jun
4386217,2012,2012-06-18T00:00:00Z,D14,Shooting,Trinity-Bellwoods (81),Jun
4503011,2012,2012-06-22T00:00:00Z,D41,Shooting,Dorset Park (126),Jun
4556249,2012,2012-06-23T00:00:00Z,D32,Shooting,Willowdale East (51),Jun
4578181,2012,2012-07-05T00:00:00Z,D22,Shooting,Islington-City Centre West (14),Jul
4544154,2012,2012-07-16T00:00:00Z,D43,Shooting,West Hill (136),Jul
4544154,2012,2012-07-16T00:00:00Z,D43,Shooting,West Hill (136),Jul
4466647,2012,2012-07-17T00:00:00Z,D12,Shooting,Rockcliffe-Smythe (111),Jul
